image1,image2,label
scene0001/0001.jpg,scene0001/0002.jpg,1
scene0001/0001.jpg,scene0001/0003.jpg,1
scene0001/0001.jpg,scene0001/0004.jpg,1
scene0001/0001.jpg,scene0001/0005.jpg,1
scene0001/0001.jpg,scene0001/0006.jpg,1
scene0001/0001.jpg,scene0001/0007.jpg,1
scene0001/0002.jpg,scene0001/0003.jpg,1
scene0001/0002.jpg,scene0001/0004.jpg,1
scene0001/0002.jpg,scene0001/0005.jpg,1
scene0001/0002.jpg,scene0001/0006.jpg,1
scene0001/0002.jpg,scene0001/0007.jpg,1
scene0001/0003.jpg,scene0001/0004.jpg,1
scene0001/0003.jpg,scene0001/0005.jpg,1
scene0001/0003.jpg,scene0001/0006.jpg,1
scene0001/0003.jpg,scene0001/0007.jpg,1
scene0001/0004.jpg,scene0001/0005.jpg,1
scene0001/0004.jpg,scene0001/0006.jpg,1
scene0001/0004.jpg,scene0001/0007.jpg,1
scene0001/0005.jpg,scene0001/0006.jpg,1
scene0001/0005.jpg,scene0001/0007.jpg,1
scene0001/0006.jpg,scene0001/0007.jpg,1
scene0001/0004.jpg,scene0015/0002.jpg,0
scene0001/0003.jpg,scene0040/0004.jpg,0
scene0001/0003.jpg,scene0006/0007.jpg,0
scene0001/0003.jpg,scene0009/0002.jpg,0
scene0001/0003.jpg,scene0048/0002.jpg,0
scene0001/0005.jpg,scene0006/0008.jpg,0
scene0001/0003.jpg,scene0035/0005.jpg,0
scene0001/0005.jpg,scene0025/0007.jpg,0
scene0001/0005.jpg,scene0009/0005.jpg,0
scene0001/0007.jpg,scene0007/0001.jpg,0
scene0001/0005.jpg,scene0028/0006.jpg,0
scene0001/0003.jpg,scene0050/0002.jpg,0
scene0001/0006.jpg,scene0016/0008.jpg,0
scene0001/0006.jpg,scene0024/0005.jpg,0
scene0001/0003.jpg,scene0037/0009.jpg,0
scene0001/0002.jpg,scene0025/0005.jpg,0
scene0001/0005.jpg,scene0017/0007.jpg,0
scene0001/0007.jpg,scene0017/0008.jpg,0
scene0001/0007.jpg,scene0031/0007.jpg,0
scene0001/0003.jpg,scene0002/0002.jpg,0
scene0001/0007.jpg,scene0008/0005.jpg,0
